kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
OSK,KB57,344012,1351532,WT,1986,2,15,15:29,UC,2306,7,1,U,2,7.5,8.5,12.4,31.64,2.1,-,-,-,-,-,-,-,-,-,-,B,15.6,8.1,8.2,8.6,33.04,1.7,-,-,-,-,-,-,-,-,-,-
OSK,KB58,342342,1345436,WT,1986,2,19,13:47,CL,3502,9,3.2,U,2,7.4,8.6,9.9,-,0.4,-,-,-,-,-,-,-,-,-,-,B,34.7,8,8.5,9.3,-,0.3,-,-,-,-,-,-,-,-,-,-
OSK,KB59,341922,1345556,WT,1986,2,19,13:16,CL,3702,9,3,U,2,7.9,8.6,9.7,30.77,0.2,2,2,0.31,0.036,-,-,-,-,-,-,B,47.2,8.6,8.2,9.3,30.99,0.3,1,3.2,0.17,0.033,-,-,-,-,-,-
HAR,KB17,343642,1345436,WT,1986,2,24,10:25,CL,3502,3,3,U,2,7.3,8.1,9.3,-,2.1,4,1.9,0.23,0.025,-,-,-,-,-,-,B,28.2,7.3,8.4,9.2,-,3.3,2,1,0.16,0.035,-,-,-,-,-,-
HAR,KB18,343642,1344922,WT,1986,2,24,9:22,CL,3502,3,3.5,U,2,7.2,-,9.4,31.64,2,-,-,-,-,-,-,-,-,-,-,B,27.1,7.2,-,9.4,31.72,1.9,-,-,-,-,-,-,-,-,-,-
HAR,KB19,343222,1344922,WT,1986,2,22,15:30,CL,3702,7,5,U,2,7,-,9.9,30.99,0.1,1,0.5,0.13,0.041,-,-,-,-,-,-,B,39.1,6.9,-,9.7,31.06,1.7,1,1.1,0.11,0.041,-,-,-,-,-,-
HAR,KB20,344452,1344408,WT,1986,2,20,10:06,CL,3502,5,5,U,2,6.6,8.4,10.6,-,0.3,2,1.9,0.23,0.036,-,-,-,-,-,-,B,17,6.6,-,10.5,-,0.3,1,1.4,0.11,0.041,-,-,-,-,-,-
HAR,KB21,344102,1344408,WT,1986,2,20,9:36,CL,3502,5,5.5,U,2,6.6,-,10.4,31.72,0.3,-,-,-,-,-,-,-,-,-,-,B,23.4,6.7,8.4,-,31.86,0.8,-,-,-,-,-,-,-,-,-,-
HAR,KB22,343642,1344408,WT,1986,3,4,14:26,CL,3802,5,3.7,U,2,6.8,8.3,9.3,32.01,1.1,1,1.2,0.06,0.047,-,-,-,-,-,-,B,27.8,6.7,8.3,9.5,32.01,1.9,2,0.7,0.07,0.04,-,-,-,-,-,-
HAR,KB23,343222,1344408,WT,1986,3,4,9:47,CL,3502,3,3.7,U,2,6.7,8.1,10.1,32.01,1.1,-,-,-,-,-,-,-,-,-,-,B,28.9,6.8,8.1,10,32.16,1.6,-,-,-,-,-,-,-,-,-,-
HAR,KB24,342802,1344408,WT,1986,2,22,14:56,CL,3702,7.5,5,U,2,7.6,-,9.9,31.13,0.4,1,1.2,0.1,0.036,-,-,-,-,-,-,B,33.2,7.1,-,9.4,31.2,1,1,1.1,0.1,0.039,-,-,-,-,-,-
HAR,KB25,342342,1344408,WT,1986,2,22,14:27,CL,3702,7,5,U,2,7.5,-,9.7,31.42,0.6,-,-,-,-,-,-,-,-,-,-,B,22.8,7,-,9.4,31.64,1.4,-,-,-,-,-,-,-,-,-,-
HAR,KB26,344452,1343854,WT,1986,2,20,10:40,CL,3502,6,3.5,U,2,6.6,-,10.7,31.5,0.6,-,-,-,-,-,-,-,-,-,-,B,14.7,6.7,-,11.8,31.57,0.8,-,-,-,-,-,-,-,-,-,-
